StudNo,CNo,Semester,AcadYear
2017-10401,1437,2nd,2015-2016
2017-10504,168,1st,2017-2018
2017-10550,155,1st,2016-2017
2017-10984,306,1st,2015-2016
2017-10405,1224,1st,2017-2018
2017-10844,49,1st,2017-2018
2017-10506,611,2nd,2017-2018
2017-10729,48,1st,2015-2016
2017-10905,1874,1st,2017-2018
2017-10017,1277,2nd,2017-2018
2017-10738,680,2nd,2017-2018
2017-10856,1500,1st,2015-2016
2017-10434,1994,1st,2015-2016
2017-10812,173,1st,2017-2018
2017-10619,14,1st,2017-2018
2017-10790,5,2nd,2014-2015
2017-10153,404,2nd,2014-2015
2017-10400,897,1st,2015-2016
2017-10240,1832,2nd,2016-2017
2017-10222,444,2nd,2017-2018
2017-10263,1241,2nd,2014-2015
2017-10235,1086,1st,2016-2017
2017-10043,347,1st,2016-2017
2017-10607,1313,1st,2015-2016
2017-10562,1788,2nd,2017-2018
2017-10488,1353,2nd,2015-2016
2017-10709,584,2nd,2015-2016
2017-10454,145,2nd,2015-2016
2017-10981,271,1st,2016-2017
2017-10511,1497,1st,2017-2018
2017-10277,1381,1st,2014-2015
2017-10091,1805,2nd,2017-2018
2017-10864,209,1st,2017-2018
2017-10733,1016,2nd,2014-2015
2017-10057,1855,2nd,2017-2018
2017-10093,603,1st,2015-2016
2017-10921,1460,1st,2017-2018
2017-10775,1338,1st,2015-2016
2017-10692,1577,1st,2016-2017
2017-10852,205,1st,2015-2016
2017-10984,328,1st,2015-2016
2017-10580,85,1st,2017-2018
2017-10842,1830,1st,2015-2016
2017-10888,355,1st,2017-2018
2017-10270,1971,1st,2015-2016
2017-10962,340,2nd,2015-2016
2017-10427,182,1st,2016-2017
2017-10193,68,2nd,2014-2015
2017-10853,1786,2nd,2015-2016
2017-10592,282,2nd,2017-2018
2017-10392,163,2nd,2014-2015
2017-10748,340,1st,2017-2018
2017-10131,594,1st,2014-2015
2017-10949,1612,2nd,2015-2016
2017-10767,651,1st,2014-2015
2017-10495,576,2nd,2017-2018
2017-10206,1824,1st,2017-2018
2017-10922,1295,2nd,2016-2017
2017-10566,1448,1st,2014-2015
2017-10555,604,2nd,2016-2017
2017-10365,1394,1st,2017-2018
2017-10487,909,1st,2015-2016
2017-10256,1714,1st,2014-2015
2017-10678,1995,1st,2017-2018
2017-10633,707,2nd,2014-2015
2017-10029,498,1st,2017-2018
2017-10620,523,2nd,2017-2018
2017-10992,1917,2nd,2015-2016
2017-10522,1858,1st,2014-2015
2017-10497,1344,2nd,2016-2017
2017-10267,314,2nd,2016-2017
2017-10496,1127,2nd,2014-2015
2017-10690,869,2nd,2015-2016
2017-10045,1002,2nd,2014-2015
2017-10293,988,2nd,2014-2015
2017-10741,1537,1st,2014-2015
2017-10729,539,2nd,2017-2018
2017-10374,1197,2nd,2016-2017
2017-10531,1969,1st,2015-2016
2017-10593,189,1st,2014-2015
2017-10437,338,2nd,2017-2018
2017-10642,722,1st,2016-2017
2017-10566,253,1st,2014-2015
2017-10369,1498,1st,2015-2016
2017-10437,1236,2nd,2016-2017
2017-10194,1740,1st,2016-2017
